title ,text ,subject,label
AHOK Sang Saka Merah Putih,"AHOK Sang Saka Merah Putih Patung Ahok di museum lilin Madame Tussauds Hongkong, sebagai salah satu gubernur terbaik dunia. Gubernur pertama yang dibuatkan patungnya di sana. Bangsa Indonesia bangga punya Ahok",Politik,FAKE
AHOK AKAN BELAJAR KEBIJAKAN PUBLIK KENNEDY CENTER ATAU JOHN F.KENNEDY SCHOOL OF GOVERNMENT DI HARVARD UNIVERSITY,"Halo Ahoker Ahok hanya akan beberapa hari di Jakarta dengan sedikit agenda publik. Salah satunya wawancara di Metro TV tanggal 26 Januari. Topiknya sudah dipastikan tidak akan menyinggung masalah poltik dan hanya berkisar soal ringan-ringan saja. Ahok menyatakan karir politiknya sudah habis. Dia akan menjadi motivator dan pebisnis. Setelah acara di MetroTV dia akan terbang ke Vancouver, Kanada mengawali rangkaian perjalanannya ke luar negeri memenuhi undangan sebagai pembicara. Dipastikan, Ahok akan tetap berada di luar negeri. Selain itu , Ahok dikabarkan akan belajar Kebijakan Publik Kennedy Center atau John F.Kennedy School of Government di Harvard University. Kennedy Center adalah sekolah paling kondang sedunia dalam mencetak pemimpin bangsa. Artinya, dia akan bermukim di Massachusetts, USA setidaknya 2 tahun menyelesaikan program doktoralnya.",Politik,FAKE
WhatsApp Ulang Tahun ke 10: Dapatkan 35 GB internet gratis,"""WhatsApp Ulang Tahun ke 10: Dapatkan 35 GB internet gratis untuk operator seluler Anda untuk digunakan dalam 6 bulan. Minta sekarang https://fitedetox.club/35gb.",Penipuan,FAKE
Waspada Dokter Palsu Penyebar Virus AIDS Bermodus Tes Gula," Assalamualaikum. Agar di waspaidai ... Dan segera melaporkan jika ada mengaku dari fakultas kedokteran ingin mengukur gula darah atau pengambilan sample darah ... Gratis ... Segera tolak dan laporkan Waspada Dokter Palsu Harap kesediaan anda untuk bantu menangkap mereka dengan cepat jika Anda menemui orang-orang yang berkunjung di depan pintu Anda dan mereka mengatakan mereka berasal dari Fakultas Kedokteran untuk bantu mengukur gula darah secara gratis. Segera informasikan kepada polisi karena orang-orang itu adalah Orang yg ingin menghancurkan Indonesia. Mereka berkunjung Dari rumah ke rumah untuk menyebarkan virus AIDS melalui alat suntik yang mereka bawa. Kabar ini berkembang setelah warga pasuruan, jawa timur banyak yang terinfeksi virus AIDS setelah mendapat cek gula darah gratis yang mengaku dari Fakultas kedokteran. Hal yang serupa pun terjadi di daerah Kabupaten Bireuen, aceh utara yang ada beberapa orang yang diduga terinfeksi AIDS setelah melakukan suntik darah untuk tes gula darah yang sama dilakukan oleh yang mengaku berasal dari Fakultas Kedokteran. Laporan warga kepada kantor kepolisianpun makin marak, namun menurut kapolres Bireuen AKBP Riza Yulianto :""masalah ini belum bisa kami tindak lanjuti karena para pelapor tidak memiliki bukti kongkrit."" Saat diwawancarai media setempat. Masyarakat diminta untuk lebih waspada dan segera melapor kepada aparat bila ada hal yang sama terjadi agar dapat ditangkap beserta barang bukti. Tolong Bantu Viralkan Kepada Seluruh Akun . Dan ini sdh terjadi di SDN PATAS Gerokgak Buleleng tgl 26 Agust 2017 jam 09.00 wita. Tetapi para guru curiga karena dia memaksa utk mengambil darah, dg alasan mengecek darah murid2.(info dr istri Serda Made Ariawan anggota Latpur). NB: BANTU SHARE.""",Kesehatan,FAKE
Masak Mie Instan Langsung dengan Bumbunya Menyebabkan Kanker,"Hati-hati, bumbu mi instan tidak boleh dimasak! Peringatan bagi kita semua bahwa mi instan tidak boleh dimasak bersamaan dengan bumbunya, karena MSG (monosodium glutamat) jika dimasak di atas suhu 120 derajat celcius akan berpotensi menjadi karsinogen alias pencetus kanker. Perhatikan semua kemasan mi instan kebanyakan prosedurnya masak mi dulu baru ditaburi bumbu, jadi bumbu ditaruh di mangkuk dulu. Jangan pernah masak mi beserta bumbunya, bahaya! Tolong dapat diteruskan ke orang-orang yang suka makan mi",Kesehatan,FAKE
Tabung Gas Elpiji Kadaluwarsa Pasca Tabung Meledak di PHD Bekasi,"Setelah kejadian tabung elpiji meledak di Pizza Hut Bekasi. (Semoga bermanfaat Bagi TS yg masih memakai gas elpiji tabung) TABUNG nya gas elpiji ada masa kadaluwarsanya. Jika anda membeli gas, harap diperiksa terlebih dahulu, kapan TABUNG tersebut berakhir masa pakainya? Penulisan kadaluwarsa berupa ""ALFA CODE"". Contoh: ""A 16"" A = Januari - Maret B = April - Juni C = Juli - September D = Oktober - Desember maka A 16 adalah : Jan - Mar tahun 2016. Sebarkan pengetahuan ini , barangkali anda bisa menyelamatkan seseorang. Ini penting karena tabung gas yang sudah kadaluwarsa bisa berbahaya.",Lain-lain,FAKE
"Jokowi: Sejarah Aslinya, PKI itu Tidak Bersalah Apalagi Mengancam, Yang Berbahaya Itu Islam Radikal","Di tengah isu kebangkitan PKI, Presiden Joko Widodo menegaskan radikalisme dan terorisme sebagai ancaman terbesar bagi Pancasila. Menurutnya saat ini telah terjadi ""infiltrasi ideologi"" buat mengganti dasar negara. Presiden Joko Widodo menilai bukan komunisme, komunis tidak pernah salah menurut sejarah aslinya justru mereka korban, justru radikalisme dan faham garis keras yang menjadi ancaman terbesar buat dasar negara. ""Sekarang ini telah terjadi infiltrasi ideologi yang ingin menggantikan Pancasila dan memecah belah kita,"" katanya dalam pidato dalam Pertemuan Pimpinan Perguruan Tinggi se-Indonesia di Bali, Selasa (26/9). ""Apabila kita semua masih cinta Indonesia, kita harus menghentikan infiltrasi ideologi, radikalisme, dan terorisme di perguruan tinggi seluruh Indonesia agar rasa persatuan dan persaudaraan semakin kuat. Jangan sampai hasil kerja keras untuk anak cucu kita hancur karena terorisme dan radikalisme sehingga bangsa kita jadi bangsa yang mundur,"" ungkapnya. ""Jangan sampai kampus-kampus menjadi lahan penyebaran ideologi anti-Pancasila, NKRI, dan Bhinneka Tunggal Ika.""",Pemerintahan,FAKE
Gratis Isi Full Tangki Anda' pada 29-30 Februari 2019,"Pemberitahuan, INGAT!! Pada tanggal 29 Februari 2019 seluruh pom bensin di seluruh Indonesia menggratiskan pengisian premiun, pertalite, maupun pertamax hingga full tengki, berlaku hanya untuk tanggal 29 februari 2019 saja. jangan sampai lupa, makasih",Penipuan,FAKE
Makan durian dicampur dengan Coca-Cola menyebabkan kematian,DURIAN + COCA COLA = MEMATIKAN. Remaja 18 tahun tewas setelah makan durian dan minum soda yang berefek keracunan kafein dan hasilnya menyebabkan kematian jantung mendadak,Kesehatan,FAKE
"JANGAN AMBIL KEY CHAIN DALAMNYA ADA GPS NANTI DIIKUTI TERUS, SAMPAI RUMAH DIRAMPOK","""Di pom bensin, mohon jangan ambil key chain ini walau dikasih gratis. Dalamnya ada GPS. Nanti diikuti terus, sampai rumah dirampok. Ada yang kena",Kriminal,FAKE
Isu jarum mengandung HIV/AIDS di Bioskop,"""Sekilas Info Malam"" Hati2 nonton di Bioskop"" Info yang cukup mengagetkan dari dari para dokter dan LSM yang menangani narkoba. Para penderita HIV/AIDS yang putus asa dan tdk ada kepedulian dr pemerintah, mereka mulai dendam. Mereka menyebarkan penyakit ini (HIV/AIDS), modusnya dengan menggunakan jarum yg ditancapkan ke tempat duduk yg selesai mereka nonton. Mereka menusuk2 jarum tersebut menusuk tangannya sampai berdarah yg digunakan jenis jarum suntik dan diletakkan di tempat makanan dan minuman, diberikan sebuah kertas kecil bertuliskan kalimat yg mengejutkan ""Selamat datang di keluarga HIV/AIDS"" TOLONG DISEBARKAN, JIKA ANDA SEBARKAN ANDA SDH S'LAMATKAN BANYAK JIWA"". Sebelum duduk di bangku bioskop yg harus anda lakukan adalah. mengecek bangku tersebut jangan langsung diduduki, karna akan langsung tertancap jarum suntikan yg terkontaminasi denngan darah si penderita HIV/AIDS. INFO INTELKAM MABES POLRI...... WASPADALAH...... ",Kriminal,FAKE
